	DISEASE/TRAIT	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	SNP_GENE_IDS	SNPS	P-VALUE	OR or BETA
29482	Colorectal cancer	2q35	2	218290058	PNKD, TMBIM1	PNKD, TMBIM1	ENSG00000127838, ENSG00000135926	rs992157	2E-9	1.12
29483	Colorectal cancer	11q23.1	11	111302186	COLCA1, COLCA2	COLCA2, COLCA1	ENSG00000214290, ENSG00000196167	rs6589219	2E-9	1.12
34659	Colorectal cancer	8q24.21	8	127401060	CCAT2, LOC101930033	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	2E-21	1.18
35221	Colorectal cancer	3p21.2	3	50713718	DOCK3	DOCK3	ENSG00000088538	rs17659990	5E-9	1.875
37089	Colorectal cancer	10p14	10	8676041	NR	RNA5SP299 - AL355333.1		rs9733843	1E-14	1.142
37116	Colorectal cancer	10p14	10	8697617	LOC338591	RNA5SP299 - AL355333.1		rs11255841	2E-14	1.17
37117	Colorectal cancer	8q24.21	8	127401060	POU5F1B	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	1E-19	1.2033695
37118	Colorectal cancer	18q21.1	18	48924606	SMAD7	SMAD7	ENSG00000101665	rs7229639	3E-12	1.2004802
37129	Colorectal cancer	10q25.2	10	112967084	TCF7L2	TCF7L2	ENSG00000148737	rs11196172	4E-10	1.146
37133	Colorectal cancer	8q24.21	8	127398703	NR	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs12682374	7E-29	1.2033695
37134	Colorectal cancer	18q21.1	18	48925503	NR	SMAD7	ENSG00000101665	rs4939567	1E-22	1.1820331
37135	Colorectal cancer	10q25.2	10	112520943	NR	VTI1A	ENSG00000151532	rs12241008	3E-12	1.1350738
37136	Colorectal cancer	12p13.32	12	4256383	NR	CCND2-AS1	ENSG00000255920	rs4572213	2E-9	1.1248593
37137	Colorectal cancer	1q41	1	221989031	NR	LINC02474 - LINC01705		rs6691195	3E-10	1.1160713
37138	Colorectal cancer	5q31.1	5	135104736	NR	C5orf66	ENSG00000224186	rs254563	1E-9	1.1160713
37139	Colorectal cancer	20q13.12	20	43904181	NR	LINC01728 - TOX2		rs6065668	4E-11	1.1148272
37145	Colorectal cancer	16q24.1	16	86220445	NR	LINC01082 - LINC01081		rs847208	3E-9	1.107
37147	Colorectal cancer	10q25.2	10	112967084	NR	TCF7L2	ENSG00000148737	rs11196172	1E-9	1.114
37148	Colorectal cancer	11q12.2	11	61852357	NR	FADS2	ENSG00000134824	rs174594	2E-13	1.134
41078	Colorectal cancer (aspirin and/or NSAID use interaction)	12p12.3	12	17291799	MGST1, PIK3C2G	AC092110.1 - PSMC1P8		rs2965667	5E-9	
41079	Colorectal cancer (aspirin and/or NSAID use interaction)	15q25.2	15	81937658	IL16	AC104041.1 - AC025219.1		rs16973225	8E-9	
45153	Colorectal cancer (oestrogen-progestogen hormone therapy interaction)	20q13.2	20	54200178	CYP24A1	CYP24A1 - PFDN4		rs964293	5E-9	1.6393442
46096	Colorectal cancer	15q13.3	15	32718211	GREM1, SCG5	GREM1, GREM1, AC090877.2	ENSG00000166923, ENSG00000282046, ENSG00000259721	rs2293582	3E-11	1.21
46097	Colorectal cancer	18q21.1	18	48927678	SMAD7	SMAD7	ENSG00000101665	rs7226855	4E-23	1.25
46100	Colorectal cancer	20q13.33	20	62394395	LAMA5	CABLES2	ENSG00000149679	rs2427308	3E-11	1.19
47263	Colorectal or endometrial cancer	12q24.12	12	111446804	SH2B3	ATXN2, SH2B3	ENSG00000204842, ENSG00000111252	rs3184504	8E-9	1.1
50640	Colorectal cancer	11q13.4	11	74634505	POLD3	POLD3	ENSG00000077514	rs3824999	8E-11	1.15
50730	Colorectal cancer	1p36.12	1	22261235	WNT4, CDC42	AL445253.1 - MIR4418		rs72647484	1E-8	1.24
50736	Colorectal cancer	8q24.11	8	116836068	EIF3H	UTP23	ENSG00000147679	rs76316943	2E-11	1.58
50737	Colorectal cancer	8q24.21	8	127412547	MYC	PCAT1, POU5F1B, CASC8	ENSG00000253438, ENSG00000212993, ENSG00000246228	rs7014346	6E-15	1.19
50738	Colorectal cancer	10p14	10	8697617	GATA3	RNA5SP299 - AL355333.1		rs11255841	4E-13	1.18
51493	Colorectal cancer	11q23.1	11	111300984	C11orf93	COLCA2, COLCA1	ENSG00000214290, ENSG00000196167	rs3802842	1E-10	1.1235955
51496	Colorectal cancer	15q13.3	15	32702555	CRAC1, HMPS, GREM1	SCG5 - AC090877.2		rs4779584	1E-8	1.12
51497	Colorectal cancer	18q21.1	18	48927093	SMAD7	SMAD7	ENSG00000101665	rs4939827	2E-15	1.13
51503	Colorectal cancer	3p22.1	3	40883471	CTNNB1	AC099560.1 - AC099541.1		rs35360328	3E-9	1.14
51508	Colorectal cancer	20q13.13	20	48723580	PREX1	PREX1	ENSG00000124126	rs6066825	4E-9	1.09
51510	Colorectal cancer	8q23.3	8	116618444	EIF3H	AC105177.1 - EIF3H		rs16892766	3E-12	1.2048193
51511	Colorectal cancer	8q24.21	8	127401060	MYC	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	4E-14	1.1235955
52099	Colorectal cancer	8q23.3	8;8	116635549;116611854	EIF3H	AC105177.1 - EIF3H; AC105177.1 - EIF3H		rs6469656; rs2450115	1E-15	1.2
52112	Colorectal cancer	8q23.3	8	116611854	EIF3H	AC105177.1 - EIF3H		rs2450115	1E-12	1.12
52113	Colorectal cancer	8q23.3	8	116635549	EIF3H	AC105177.1 - EIF3H		rs6469656	2E-12	1.11
52116	Colorectal cancer	10q24.32	10	102835491	CYP17A1	CYP17A1	ENSG00000148795	rs4919687	8E-12	1.14
52127	Colorectal cancer	10q25.2	10	112559621	VTI1A	VTI1A	ENSG00000151532	rs10506868	4E-9	1.1
52128	Colorectal cancer	12p13.31	12	6872998	SPSB2	SPSB2	ENSG00000111671	rs11064437	4E-11	1.12
52130	Colorectal cancer	20q13.33	20	62381861	RPS21	LAMA5 - AL121832.2		rs6061231	8E-11	1.18
52131	Colorectal cancer	5q31.1	5	135163402	NR	C5orf66	ENSG00000224186	rs647161	2E-14	1.15
52133	Colorectal cancer	10q25.2	10	112967084	NR	TCF7L2	ENSG00000148737	rs11196172	1E-12	1.14
52134	Colorectal cancer	11q12.2	11	61785208	NR	TMEM258, MYRF	ENSG00000134825, ENSG00000124920	rs174537	9E-21	1.16
52135	Colorectal cancer	12p13.31	12	6276561	NR	ATP5MFP5 - PLEKHG6		rs10849432	4E-10	1.14
52136	Colorectal cancer	12p13.32	12	4259186	NR	CCND2-AS1	ENSG00000255920	rs10774214	1E-10	1.14
52138	Colorectal cancer	18q21.1	18	48924606	NR	SMAD7	ENSG00000101665	rs7229639	3E-15	1.2
52139	Colorectal cancer	19q13.2	19	41354391	NR	AC011462.2, TMEM91	ENSG00000268475, ENSG00000142046	rs1800469	1E-8	1.09
52140	Colorectal cancer	20p12.3	20	7831703	NR	RN7SL547P - AL031679.1		rs2423279	3E-12	1.13
52141	Colorectal cancer	1q41	1	221991606	NR	LINC02474 - LINC01705		rs6687758	9E-9	1.12
52142	Colorectal cancer	8q24.21	8	127395198	NR	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs10505477	3E-13	1.15
52143	Colorectal cancer	8q24.21	8	127401060	NR	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	5E-14	1.14
52145	Colorectal cancer	10p14	10	8659256	NR	RNA5SP299 - AL355333.1		rs10795668	5E-15	1.15
54542	Colorectal cancer	12p13.2	12	11856807	ETV6	ETV6	ENSG00000139083	rs2238126	3E-11	1.17
55584	Colorectal cancer	12p13.2	12	11856807	ETV6	ETV6	ENSG00000139083	rs2238126	3E-10	1.17
56533	Colorectal cancer (diet interaction)	10p14	10	8047173	GATA3, GATA-AS1	GATA3	ENSG00000107485	rs4143094	9E-9	1.17
56833	Colorectal cancer	8q24.21	8	127395198	MYC	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs10505477	8E-13	1.198
56834	Colorectal cancer	10p14	10	8697617	GATA3	RNA5SP299 - AL355333.1		rs11255841	7E-11	1.19
56836	Colorectal cancer	15q13.3	15	32720301	GREM1, SCG5	GREM1, GREM1	ENSG00000166923, ENSG00000282046	rs73376930	1E-11	1.246
56839	Colorectal cancer	20q13.33	20	62394395	LAMA5	CABLES2	ENSG00000149679	rs2427308	3E-11	1.235
57379	Colorectal cancer	4q32.2	4	162412253	FSTL5, NAF1	MTHFD2P4 - TOMM22P4		rs35509282	8E-9	1.53
57712	Colorectal cancer	10q25.2	10	112520943	VTI1A	VTI1A	ENSG00000151532	rs12241008	1E-9	1.13
58387	Colorectal cancer	18q21.1	18	48924606	SMAD7	SMAD7	ENSG00000101665	rs7229639	3E-11	1.22
59428	Colorectal cancer	10q24.2	10	99585609	SLC25A28, ABCC2, MRP2, NKX2-3	NKX2-3 - SLC25A28		rs1035209	5E-11	1.12
59623	Colorectal cancer	10q25.2	10	112967084	TCF7L2	TCF7L2	ENSG00000148737	rs11196172	1E-12	1.14
59624	Colorectal cancer	11q12.2	11	61785208	MYRF, FADS1, FADS2, FEN1	TMEM258, MYRF	ENSG00000134825, ENSG00000124920	rs174537	9E-21	1.16
59626	Colorectal cancer	12p13.31	12	6276561	PLEKHG6, TNFRSF1A, CD9	ATP5MFP5 - PLEKHG6		rs10849432	6E-10	1.14
59637	Colorectal cancer	20p12.3	20	7831703	HAO1	RN7SL547P - AL031679.1		rs2423279	3E-12	1.13
59648	Colorectal cancer	19q13.2	19	41354391	TGFB1, B9D2	AC011462.2, TMEM91	ENSG00000268475, ENSG00000142046	rs1800469	1E-8	1.09
59649	Colorectal cancer	1q41	1	221991606	DUSP10	LINC02474 - LINC01705		rs6687758	9E-9	1.12
59650	Colorectal cancer	5q31.1	5	135163402	PITX1	C5orf66	ENSG00000224186	rs647161	2E-14	1.15
59651	Colorectal cancer	8q24.21	8	127401060	intergenic	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	5E-14	1.14
59652	Colorectal cancer	10p14	10	8659256	intergenic	RNA5SP299 - AL355333.1		rs10795668	5E-15	1.15
59654	Colorectal cancer	12p13.32	12	4259186	CCND2	CCND2-AS1	ENSG00000255920	rs10774214	1E-10	1.14
71428	Colorectal cancer	11q23.1	11	111300984	NR	COLCA2, COLCA1	ENSG00000214290, ENSG00000196167	rs3802842	5E-19	1.1235955
71429	Colorectal cancer	12p13.32	12	4279105	NR	AC008012.1, CCND2	ENSG00000285901, ENSG00000118971	rs3217810	2E-11	1.15
71430	Colorectal cancer	12q24.12	12	111446804	NR	ATXN2, SH2B3	ENSG00000204842, ENSG00000111252	rs3184504	2E-10	1.0752687
71432	Colorectal cancer	14q22.2	14	53944201	NR	AL138479.1 - MIR5580		rs4444235	1E-9	1.0752687
71433	Colorectal cancer	14q23.1	14	58722643	NR	LINC01500	ENSG00000258583	rs17094983	8E-10	1.1111112
71434	Colorectal cancer	15q13.3	15	32720301	NR	GREM1, GREM1	ENSG00000166923, ENSG00000282046	rs73376930	4E-18	1.1363636
71436	Colorectal cancer	18q21.1	18	48927093	NR	SMAD7	ENSG00000101665	rs4939827	3E-30	1.14
71439	Colorectal cancer	3p22.1	3	40883471	NR	AC099560.1 - AC099541.1		rs35360328	6E-13	1.13
71441	Colorectal cancer	8q23.3	8	116618444	NR	AC105177.1 - EIF3H		rs16892766	4E-24	1.2195122
71442	Colorectal cancer	8q24.21	8	127401060	NR	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	8E-27	1.1363636
71443	Colorectal cancer	10p14	10	8697617	NR	RNA5SP299 - AL355333.1		rs11255841	3E-12	1.098901
71445	Colorectal cancer	10q24.2	10	99585609	NR	NKX2-3 - SLC25A28		rs1035209	1E-8	1.09
71447	Colorectal cancer	11q13.4	11	74634505	NR	POLD3	ENSG00000077514	rs3824999	4E-10	1.0752687
71448	Colorectal cancer	20p12.3	20	6423634	NR	AL109618.3 - CASC20		rs961253	6E-11	1.08
71449	Colorectal cancer	20p12.3	20	6718948	NR	CASC20 - LINC01713		rs4813802	1E-9	1.0752687
71451	Colorectal cancer	20q13.33	20	62394395	NR	CABLES2	ENSG00000149679	rs2427308	2E-13	1.1235955
71474	Colorectal cancer	5p15.33	5	1296371	NR	TERT - MIR4457		rs2735940	3E-13	1.0869565
71475	Colorectal cancer	5p13.1	5	40281696	NR	RNU1-150P - AC093277.1		rs58791712	7E-14	1.098901
71477	Colorectal cancer	1q41	1	221991606	NR	LINC02474 - LINC01705		rs6687758	1E-8	1.0869565
98839	Colorectal cancer or advanced adenoma	8q24.11	8	116778675	EIF3H	UTP23	ENSG00000147679	rs117079142	2E-16	1.19
98840	Colorectal cancer or advanced adenoma	2q33.1	2	198747683	SATB2	AC019330.1	ENSG00000225421	rs11884596	1E-9	1.06
98845	Colorectal cancer or advanced adenoma	15q13.3	15	32700635	GREM1	SCG5 - AC090877.2		rs12708491	4E-15	1.07
98856	Colorectal cancer or advanced adenoma	12p13.31	12	6297738	PLEKHG6, CD9	ATP5MFP5 - PLEKHG6		rs10849433	1E-8	1.06
98857	Colorectal cancer or advanced adenoma	6p21.33	6	31042408	MHC	MUC22 - HCG22		rs116353863	9E-9	1.2
98919	Colorectal cancer or advanced adenoma	15q13.3	15	32864185	GREM1	FMN1, FMN1	ENSG00000248905, ENSG00000282513	rs17816465	7E-9	1.07
98921	Colorectal cancer or advanced adenoma	15q13.3	15	32718535	GREM1	AC090877.2, GREM1, GREM1	ENSG00000259721, ENSG00000166923, ENSG00000282046	rs2293581	9E-40	1.15
98923	Colorectal cancer or advanced adenoma	20p12.3	20	6781574	BMP2	BMP2 - AL096799.1		rs28488	3E-11	1.06
98924	Colorectal cancer or advanced adenoma	12p13.32	12	4291642	CCND2	CCND2, AC008012.1	ENSG00000118971, ENSG00000285901	rs3217874	1E-17	1.08
98926	Colorectal cancer or advanced adenoma	8q24.21	8	127559610	MYC	CASC8 - AC104370.1		rs4313119	1E-9	1.06
98927	Colorectal cancer or advanced adenoma	13q22.1	13	73075014	KLF5	KLF5	ENSG00000102554	rs45597035	3E-9	1.06
98928	Colorectal cancer or advanced adenoma	11q22.1	11	101785666	NR	TRPC6	ENSG00000137672	rs2186607	1E-9	1.05
98929	Colorectal cancer or advanced adenoma	15q22.33	15	67110486	NR	SMAD3	ENSG00000166949	rs56324967	1E-13	1.07
98931	Colorectal cancer or advanced adenoma	17q25.3	17	83104098	NR	AC130371.2 - AC144831.1		rs75954926	3E-18	1.09
98932	Colorectal cancer or advanced adenoma	13q22.1	13	73217417	NR	RNU4-10P - RNY1P8		rs78341008	3E-10	1.12
98933	Colorectal cancer or advanced adenoma	6p21.32	6	32625303	NR	HLA-DRB1 - HLA-DQA1		rs9271695	1E-13	1.09
98934	Colorectal cancer or advanced adenoma	2q33.1	2	198916862	NR	AC020718.1	ENSG00000231557	rs983402	8E-12	1.07
98935	Colorectal cancer or advanced adenoma	3q22.1	3	133982275	NR	SLCO2A1	ENSG00000174640	rs10049390	4E-9	1.06
98936	Colorectal cancer or advanced adenoma	17p12	17	10803924	NR	AC015908.6, AC015908.7, TMEM238L, TMEM220-AS1	ENSG00000284876, ENSG00000285220, ENSG00000263429, ENSG00000263400	rs1078643	7E-12	1.08
98937	Colorectal cancer or advanced adenoma	9q31.3	9	110909123	NR	LPAR1	ENSG00000198121	rs10980628	3E-9	1.07
98938	Colorectal cancer or advanced adenoma	18q21.1	18	48926786	SMAD7	SMAD7	ENSG00000101665	rs11874392	4E-74	1.17
98939	Colorectal cancer or advanced adenoma	12q13.12	12	50777307	DIP2B, ATF1	ATF1	ENSG00000123268	rs12372718	2E-23	1.09
98940	Colorectal cancer or advanced adenoma	4q22.2	4	94017467	ATOH1, SMARCAD1, BMPR1B	ATOH1 - AC096746.1		rs13149359	1E-8	1.05
98942	Colorectal cancer or advanced adenoma	15q13.3	15	32700910	GREM1	SCG5 - AC090877.2		rs16969681	1E-13	1.11
98943	Colorectal cancer or advanced adenoma	1q41	1	221939292	DUSP10	LINC02257	ENSG00000238042	rs17011141	6E-16	1.09
98944	Colorectal cancer or advanced adenoma	20q13.33	20	62357358	LAMA5, RPS21	LAMA5	ENSG00000130702	rs1741640	1E-26	1.12
98945	Colorectal cancer or advanced adenoma	11q12.2	11	61781553	MYRF, FEN1, FADS1	MYRF, TMEM258	ENSG00000124920, ENSG00000134825	rs174533	1E-11	1.07
98947	Colorectal cancer or advanced adenoma	19q13.11	19	33029021	RHPN2, GPATCH1	RHPN2	ENSG00000131941	rs28840750	4E-23	1.21
98948	Colorectal cancer or advanced adenoma	11q23.1	11	111286111	c11orf53, COLCA1, COLCA2	C11orf53	ENSG00000150750	rs3087967	2E-31	1.12
98949	Colorectal cancer or advanced adenoma	8q23.3	8	116617172	EIF3H	AC105177.1 - EIF3H		rs3133285	6E-10	1.07
98950	Colorectal cancer or advanced adenoma	3p22.1	3	40873748	CTNNB1	AC099560.1 - AC099541.1		rs35470271	1E-16	1.1
98951	Colorectal cancer or advanced adenoma	2q35	2	218326533	PNKD, TMBIM1	PNKD	ENSG00000127838	rs3731861	2E-11	1.06
98953	Colorectal cancer or advanced adenoma	5q31.1	5	135131530	PITX1, H2AFY	C5orf66, AC008406.2	ENSG00000224186, ENSG00000248753	rs4976270	5E-15	1.07
98955	Colorectal cancer or advanced adenoma	15q13.3	15	32709533	GREM1	SCG5 - AC090877.2		rs58658771	6E-37	1.15
98956	Colorectal cancer or advanced adenoma	12q24.12	12	111535554	SH2B3	ATXN2	ENSG00000204842	rs597808	3E-16	1.08
98958	Colorectal cancer or advanced adenoma	5p13.1	5	40102341	LINC00603, PTGER4	KRT18P56 - LINC00604		rs7708610	4E-9	1.06
98959	Colorectal cancer or advanced adenoma	5p15.33	5	1240089	TERT, CLPTM1L	SLC6A18	ENSG00000164363	rs78368589	9E-12	1.14
98962	Colorectal cancer or advanced adenoma	14q23.1	14	58741719	DACT1	LINC01500	ENSG00000258583	rs8020436	5E-11	1.06
98963	Colorectal cancer or advanced adenoma	20p12.3	20	6622975	BMP2	CASC20 - LINC01713		rs994308	5E-18	1.08
98964	Colorectal cancer or advanced adenoma	20p12.3	20	7760329	HAO1	RN7SL547P - AL031679.1		rs11087784	3E-13	1.09
98965	Colorectal cancer or advanced adenoma	10q24.2	10	99591947	SnoU13, COX15, CNNM1, WNT8B, NKX2-3	NKX2-3 - SLC25A28		rs11190164	7E-15	1.08
98967	Colorectal cancer or advanced adenoma	10p14	10	8697617	GATA3	RNA5SP299 - AL355333.1		rs11255841	2E-21	1.09
98968	Colorectal cancer or advanced adenoma	14q22.2	14	53978439	BMP4	BMP4 - ATP5F1CP1		rs4901473	5E-10	1.06
98971	Colorectal cancer or advanced adenoma	20q13.13	20	50367160	PTPN1	LINC01271 - RN7SL636P		rs6067417	4E-11	1.06
98973	Colorectal cancer or advanced adenoma	11q13.4	11	74716876	POLD3	CHRDL2	ENSG00000054938	rs61389091	1E-18	1.23
98975	Colorectal cancer or advanced adenoma	8q24.21	8	127402647	MYC	PCAT1, CASC8, POU5F1B	ENSG00000253438, ENSG00000246228, ENSG00000212993	rs7013278	2E-56	1.15
98976	Colorectal cancer or advanced adenoma	17p13.3	17	911003	NXN	NXN, AC087392.1	ENSG00000167693, ENSG00000262003	rs73975586	2E-11	1.09
98978	Colorectal cancer or advanced adenoma	20q13.13	20	48723580	PREX1	PREX1	ENSG00000124126	rs6066825	6E-15	1.07
98979	Colorectal cancer or advanced adenoma	1q25.3	1	183033504	LAMC1	LAMC1	ENSG00000135862	rs6678517	2E-16	1.08
98981	Colorectal cancer or advanced adenoma	14q22.2	14	53990513	BMP4	BMP4 - ATP5F1CP1		rs7160450	4E-10	1.06
98982	Colorectal cancer or advanced adenoma	5q22.2	5	112761654	APC	APC	ENSG00000134982	rs755229494	2E-12	1.87
98987	Colorectal cancer or advanced adenoma	14q23.1	14	58722643	NR	LINC01500	ENSG00000258583	rs17094983	5E-11	1.09
98988	Colorectal cancer or advanced adenoma	16q24.1	16	86305709	LOC146513, LINC00917, FOXL1	LINC01081 - LINC00917		rs12149163	5E-9	1.05
98989	Colorectal cancer or advanced adenoma	10q25.2	10	112528860	VTI1A	VTI1A	ENSG00000151532	rs12246635	5E-12	1.1
98990	Colorectal cancer or advanced adenoma	5p13.1	5	40279974	LINC00603, PTGER4	RNU1-150P - AC093277.1		rs12514517	4E-21	1.1
98991	Colorectal cancer or advanced adenoma	8q23.3	8	116618444	EIF3H	AC105177.1 - EIF3H		rs16892766	4E-32	1.2
98992	Colorectal cancer or advanced adenoma	20p12.3	20	6395810	BMP2	AL109618.3 - CASC20		rs189583	1E-22	1.1
98993	Colorectal cancer or advanced adenoma	12p13.31	12	6312008	CD9	PLEKHG6	ENSG00000008323	rs2250430	3E-10	1.07
98994	Colorectal cancer or advanced adenoma	5p15.33	5	1296371	TERT, CLPTM1L	TERT - MIR4457		rs2735940	5E-25	1.09
98995	Colorectal cancer or advanced adenoma	12p13.32	12	4279105	CCND2	AC008012.1, CCND2	ENSG00000285901, ENSG00000118971	rs3217810	4E-19	1.13
98996	Colorectal cancer or advanced adenoma	14q22.2	14	53952388	BMP4	BMP4	ENSG00000125378	rs35107139	2E-22	1.09
98997	Colorectal cancer or advanced adenoma	12p13.32	12	4259441	CCND2	CCND2-AS1	ENSG00000255920	rs35808169	2E-11	1.08
98998	Colorectal cancer or advanced adenoma	20p12.3	20	6718948	BMP2	CASC20 - LINC01713		rs4813802	7E-14	1.07
98999	Colorectal cancer or advanced adenoma	17p13.3	17	906403	NXN	NXN	ENSG00000167693	rs4968127	1E-12	1.07
99000	Colorectal cancer or advanced adenoma	20q13.13	20	50438781	PTPN1	RN7SL636P - COX6CP2		rs6063514	8E-13	1.07
99002	Colorectal cancer or advanced adenoma	6p12.1	6	55847326	BMP5	BMP5	ENSG00000112175	rs62404966	3E-9	1.06
99003	Colorectal cancer or advanced adenoma	8q24.21	8	127401060	MYC	CCAT2, CASC8, PCAT1, POU5F1B	ENSG00000280997, ENSG00000246228, ENSG00000253438, ENSG00000212993	rs6983267	3E-64	1.16
99004	Colorectal cancer or advanced adenoma	10q22.3	10	79059375	ZMIZ1-AS1, ZMIZ1, POLR3A	ZMIZ1-AS1	ENSG00000224596	rs704017	5E-18	1.08
99005	Colorectal cancer or advanced adenoma	11q13.4	11	74568967	POLD3	POLD3	ENSG00000077514	rs7121958	1E-20	1.08
99006	Colorectal cancer or advanced adenoma	12q24.21	12	115453117	MED13L	AC078880.2 - AC009803.2		rs7300312	8E-14	1.07
99007	Colorectal cancer or advanced adenoma	10q11.23	10	50888694	A1CF, PRKG1	A1CF - CCDC58P2		rs10821907	5E-10	1.08
99009	Colorectal cancer or advanced adenoma	12q13.3	12	57139907	NR	LRP1	ENSG00000123384	rs4759277	9E-9	1.05
99010	Colorectal cancer or advanced adenoma	20q13.12	20	44037835	NR	TOX2	ENSG00000124191	rs6031311	7E-9	1.06
99012	Colorectal cancer or advanced adenoma	13q13.3	13	36887873	NR	SMAD9	ENSG00000120693	rs7333607	6E-13	1.08
