gene_name	transcript_id
Gm28065	ENSMUST00000185290.1
Gm24723	ENSMUST00000158233.1
6720483E21Rik	ENSMUST00000181654.1
Paqr8	ENSMUST00000189400.6
Paqr8	ENSMUST00000068880.13
Paqr8	ENSMUST00000167119.7
Paqr8	ENSMUST00000187651.1
Gm24171	ENSMUST00000104126.1
Gm28064	ENSMUST00000185639.1
Efhc1	ENSMUST00000038447.5
Tram2	ENSMUST00000037998.5
Gm28287	ENSMUST00000186612.1
Gm2693	ENSMUST00000189119.1
Tmem14a	ENSMUST00000027065.11
Tmem14a	ENSMUST00000027064.7
Gm38224	ENSMUST00000191648.1
Gsta3	ENSMUST00000027067.14
Gsta3	ENSMUST00000121676.7
Gm28836	ENSMUST00000185842.1
Gm7094	ENSMUST00000178379.2
Gm4956	ENSMUST00000082032.12
Gm4956	ENSMUST00000178869.7
Gm21909	ENSMUST00000178260.1
Khdc1a	ENSMUST00000088407.3
Gm16329	ENSMUST00000148174.1
Gm16327	ENSMUST00000137146.1
Khdc1c	ENSMUST00000070223.5
Gm2709	ENSMUST00000142979.1
Gm16533	ENSMUST00000140035.1
Khdc1b	ENSMUST00000147615.1
Gm16328	ENSMUST00000126985.2
Kcnq5	ENSMUST00000029667.12
Kcnq5	ENSMUST00000115300.7
Kcnq5	ENSMUST00000173058.7
Kcnq5	ENSMUST00000173404.1
Gm36949	ENSMUST00000192487.1
Gm7658	ENSMUST00000119064.1
Gm38243	ENSMUST00000194737.1
Gm5696	ENSMUST00000189850.1
Gm28239	ENSMUST00000190225.1
Rims1	ENSMUST00000081544.12
Rims1	ENSMUST00000115273.8
Rims1	ENSMUST00000097811.9
Rims1	ENSMUST00000097810.9
Rims1	ENSMUST00000097809.9
Rims1	ENSMUST00000164877.7
Rims1	ENSMUST00000218140.1
Gm26866	ENSMUST00000180414.1
Gm7761	ENSMUST00000190510.1
Gm29506	ENSMUST00000191045.1
Ppp1r14bl	ENSMUST00000073179.5
Gm24176	ENSMUST00000158928.1
Gm6420	ENSMUST00000193885.1
Mir30a	ENSMUST00000083471.3
Gm27028	ENSMUST00000182303.1
Mir30c-2	ENSMUST00000083633.1
Gm29107	ENSMUST00000190910.1
Gm20954	ENSMUST00000189078.1
Ogfrl1	ENSMUST00000027343.5
Gm7784	ENSMUST00000180769.1
Gm28822	ENSMUST00000191140.1
B3gat2	ENSMUST00000144602.1
B3gat2	ENSMUST00000063663.5
B3gat2	ENSMUST00000140583.1
Smap1	ENSMUST00000027339.13
Smap1	ENSMUST00000129254.7
Sdhaf4	ENSMUST00000027338.3
Gm26524	ENSMUST00000192339.1
Fam135a	ENSMUST00000187752.6
Fam135a	ENSMUST00000187369.6
Fam135a	ENSMUST00000027337.14
Gm37580	ENSMUST00000192408.1
Gm26607	ENSMUST00000180661.1
Col9a1	ENSMUST00000054588.14
Col9a1	ENSMUST00000088349.2
Col19a1	ENSMUST00000115244.8
Col19a1	ENSMUST00000051344.5
Gm26418	ENSMUST00000104275.1
Tubb4b-ps2	ENSMUST00000187481.1
Gm28439	ENSMUST00000187714.1
Gm10222	ENSMUST00000088336.2
Gm28438	ENSMUST00000188299.1
Gm28437	ENSMUST00000190277.1
Gm10925	ENSMUST00000189941.1
Gm28661	ENSMUST00000188231.1
Gm29216	ENSMUST00000187117.1
Lmbrd1	ENSMUST00000191471.6
Lmbrd1	ENSMUST00000186096.6
Lmbrd1	ENSMUST00000095062.9
Gm28594	ENSMUST00000187022.1
Gm28237	ENSMUST00000186563.1
Gm28237	ENSMUST00000189477.1
Gm9443	ENSMUST00000188406.1
Gm29414	ENSMUST00000185379.1
Adgrb3	ENSMUST00000126626.7
Adgrb3	ENSMUST00000135518.7
Adgrb3	ENSMUST00000151309.7
Adgrb3	ENSMUST00000041838.6
Gm15702	ENSMUST00000119680.1
Gm20172	ENSMUST00000193138.1
Gm22260	ENSMUST00000178643.1
Gm37543	ENSMUST00000192443.1
Gm37331	ENSMUST00000192367.1
Gm37211	ENSMUST00000193392.1
Gm37862	ENSMUST00000193079.1
Gm38286	ENSMUST00000195128.1
Gm37880	ENSMUST00000192216.1
Gm25294	ENSMUST00000122791.1
Gm37011	ENSMUST00000195543.1
Gm29214	ENSMUST00000190216.1
Gm37051	ENSMUST00000194535.1
Gm38260	ENSMUST00000193573.1
Gm37628	ENSMUST00000194644.1
8030445P17Rik	ENSMUST00000192614.1
Gm38198	ENSMUST00000191772.1
Gm37077	ENSMUST00000195723.1
Gm37895	ENSMUST00000192448.1
Gm36952	ENSMUST00000194923.1
Gm37602	ENSMUST00000195187.1
2900022M07Rik	ENSMUST00000193912.1
2900002M20Rik	ENSMUST00000195754.1
Gm9884	ENSMUST00000194343.1
Gm18443	ENSMUST00000185358.1
Gm19123	ENSMUST00000190716.1
Gm24064	ENSMUST00000157486.1
4931408C20Rik	ENSMUST00000097801.3
n-R5s209	ENSMUST00000179494.1
Gm19641	ENSMUST00000188432.1
Gm5524	ENSMUST00000185409.1
Gm18776	ENSMUST00000188833.1
Gm19028	ENSMUST00000189614.1
Gm38089	ENSMUST00000193585.1
Gm7846	ENSMUST00000145844.2
Gm597	ENSMUST00000059937.4
Gm5697	ENSMUST00000122295.2
Gm6462	ENSMUST00000081488.2
Gm18033	ENSMUST00000186678.1
Gm25586	ENSMUST00000082499.1
Gm22679	ENSMUST00000116975.1
Gm23785	ENSMUST00000116741.1
Mir6342	ENSMUST00000183870.1
Gm5525	ENSMUST00000190438.1
AC125120.1	ENSMUST00000239107.1
Gm7858	ENSMUST00000190177.1
Gm23771	ENSMUST00000178702.1
Gm27430	ENSMUST00000184585.1
Gm9898	ENSMUST00000065469.2
Gm6473	ENSMUST00000188572.1
Gm2914	ENSMUST00000186120.1
Phf3	ENSMUST00000186733.6
Phf3	ENSMUST00000088310.9
Gm37522	ENSMUST00000195437.1
Gm37906	ENSMUST00000192050.1
Ptp4a1	ENSMUST00000232841.1
Ptp4a1	ENSMUST00000233506.1
Ptp4a1	ENSMUST00000027232.14
Ptp4a1	ENSMUST00000076587.5
Ptp4a1	ENSMUST00000238874.1
Gm5698	ENSMUST00000178317.3
Gm9458	ENSMUST00000135273.3
4931428L18Rik	ENSMUST00000233331.1
4931428L18Rik	ENSMUST00000152491.3
4931428L18Rik	ENSMUST00000187892.7
Gm28644	ENSMUST00000191364.1
Gm27362	ENSMUST00000184868.1
Gm29128	ENSMUST00000186448.1
Gm7893	ENSMUST00000189666.1
Lgsn	ENSMUST00000062560.13
Pih1d3	ENSMUST00000027230.2
Gm26145	ENSMUST00000104476.1
Gm4850	ENSMUST00000185684.1
Gm28645	ENSMUST00000185859.1
Gm6489	ENSMUST00000178167.2
Eef1a1-ps2	ENSMUST00000189839.1
Gm19680	ENSMUST00000095050.4
Gm23032	ENSMUST00000157995.1
Gm7910	ENSMUST00000117896.2
Khdrbs2	ENSMUST00000027226.11
Khdrbs2	ENSMUST00000189878.1
Khdrbs2	ENSMUST00000188257.6
Khdrbs2	ENSMUST00000185666.1
Gm25814	ENSMUST00000082754.1
Gm37999	ENSMUST00000195178.1
Gm37110	ENSMUST00000192993.1
Gm37911	ENSMUST00000193099.1
Gm9839	ENSMUST00000195252.1
Gm37792	ENSMUST00000195761.1
Gm5415	ENSMUST00000171322.2
Gm24732	ENSMUST00000158864.1
Gm37426	ENSMUST00000195241.1
Gm23024	ENSMUST00000158770.1
Gm37151	ENSMUST00000194631.1
Gm28624	ENSMUST00000186430.1
Gm37724	ENSMUST00000195240.1
Gm7114	ENSMUST00000190159.1
Gm4785	ENSMUST00000191025.1
Gm24901	ENSMUST00000158125.1
Gm37591	ENSMUST00000193283.1
Gm2987	ENSMUST00000187673.2
Gm25792	ENSMUST00000083289.1
Gm18799	ENSMUST00000189104.2
Gm7933	ENSMUST00000191215.2
Gm23453	ENSMUST00000083326.1
Prim2	ENSMUST00000027312.10
Gm29228	ENSMUST00000185489.1
Gm37618	ENSMUST00000192891.1
Gm17813	ENSMUST00000185377.1
1700001G17Rik	ENSMUST00000191779.1
Gm38173	ENSMUST00000193126.1
Rab23	ENSMUST00000088287.9
Rab23	ENSMUST00000115174.3
Bag2	ENSMUST00000044691.8
Bag2	ENSMUST00000187602.1
Gm37905	ENSMUST00000195310.1
Zfp451	ENSMUST00000019861.12
Zfp451	ENSMUST00000044455.7
Gm15455	ENSMUST00000117459.2
Bend6	ENSMUST00000115161.7
Bend6	ENSMUST00000129464.7
Bend6	ENSMUST00000062289.10
Gm37067	ENSMUST00000195730.1
Dst	ENSMUST00000183034.4
Dst	ENSMUST00000182697.7
Dst	ENSMUST00000182314.7
Dst	ENSMUST00000097786.9
Dst	ENSMUST00000115104.9
Dst	ENSMUST00000097785.9
Dst	ENSMUST00000183302.5
Dst	ENSMUST00000185269.6
Gm37354	ENSMUST00000193333.1
Gm28631	ENSMUST00000190740.1
Gm23792	ENSMUST00000122557.1
Gm38157	ENSMUST00000194178.1
Mir6896	ENSMUST00000198033.1
Gm26788	ENSMUST00000181692.2
A930005N03Rik	ENSMUST00000194920.1
Gm37958	ENSMUST00000193131.1
Gm37385	ENSMUST00000195223.1
Gm5266	ENSMUST00000187302.1
Gm3052	ENSMUST00000186409.1
Gm3052	ENSMUST00000188254.2
Gm37233	ENSMUST00000192173.1
Mir5103	ENSMUST00000175111.1
Ccdc115	ENSMUST00000042493.9
Gm28306	ENSMUST00000191315.1
Imp4	ENSMUST00000027303.13
Ptpn18	ENSMUST00000027302.13
Ptpn18	ENSMUST00000188972.2
Gm28417	ENSMUST00000185218.1
Gm28417	ENSMUST00000185881.1
4930568A12Rik	ENSMUST00000188292.6
4930568A12Rik	ENSMUST00000186117.1
Prss39	ENSMUST00000027299.9
Gm28416	ENSMUST00000188334.1
Cfc1	ENSMUST00000027298.4
Gm28419	ENSMUST00000189108.1
Prss40	ENSMUST00000047840.8
1700101I19Rik	ENSMUST00000186712.1
Amer3	ENSMUST00000052670.10
Gm28418	ENSMUST00000186179.1
Gm36984	ENSMUST00000192770.1
Gm29730	ENSMUST00000192986.1
AA619741	ENSMUST00000195095.1
Arhgef4	ENSMUST00000159747.8
Arhgef4	ENSMUST00000047664.15
Gm37224	ENSMUST00000192878.1
Gm37845	ENSMUST00000194977.1
Arhgef4	ENSMUST00000211073.1
Gm38336	ENSMUST00000193040.2
Fam168b	ENSMUST00000167518.7
Fam168b	ENSMUST00000047534.11
Fam168b	ENSMUST00000170092.7
Fam168b	ENSMUST00000191307.6
Gm37127	ENSMUST00000192924.1
Plekhb2	ENSMUST00000156687.7
Plekhb2	ENSMUST00000027297.10
Gm19430	ENSMUST00000193847.1
Gm37670	ENSMUST00000193622.1
Gm8009	ENSMUST00000191672.1
Gm38027	ENSMUST00000192315.1
Gm25096	ENSMUST00000104043.1
Gm37068	ENSMUST00000195168.1
Gm25634	ENSMUST00000082667.1
Gm28415	ENSMUST00000187528.1
1110002O04Rik	ENSMUST00000194261.1
Gm8022	ENSMUST00000191763.1
Gm37146	ENSMUST00000192572.1
Gm33222	ENSMUST00000193725.1
4930535G08Rik	ENSMUST00000192017.1
Gm38049	ENSMUST00000195698.1
Hs6st1	ENSMUST00000088174.3
Gm37335	ENSMUST00000192656.1
Gm33280	ENSMUST00000193983.1
Uggt1	ENSMUST00000046875.13
Mir6897	ENSMUST00000184790.1
Neurl3	ENSMUST00000056946.7
Neurl3	ENSMUST00000188666.2
Arid5a	ENSMUST00000097778.8
Arid5a	ENSMUST00000115031.7
Arid5a	ENSMUST00000115032.7
Arid5a	ENSMUST00000137906.1
Arid5a	ENSMUST00000115029.1
4930403P22Rik	ENSMUST00000192234.1
Kansl3	ENSMUST00000185912.6
Kansl3	ENSMUST00000010597.9
Kansl3	ENSMUST00000186470.1
Kansl3	ENSMUST00000187628.1
Mir6898	ENSMUST00000184898.1
Fer1l5	ENSMUST00000179162.6
Lman2l	ENSMUST00000125304.7
Lman2l	ENSMUST00000115011.7
Cnnm4	ENSMUST00000153128.1
Gm37909	ENSMUST00000193157.1
Gm47280	ENSMUST00000200651.1
Cnnm3	ENSMUST00000001166.13
Cnnm3	ENSMUST00000097776.3
Gm38033	ENSMUST00000192037.1
Ankrd23	ENSMUST00000193083.5
Ankrd23	ENSMUST00000054665.9
Ankrd23	ENSMUST00000194853.2
Gm42417	ENSMUST00000191849.5
Ankrd39	ENSMUST00000001172.11
Ankrd39	ENSMUST00000194894.3
Sema4c	ENSMUST00000191677.5
Sema4c	ENSMUST00000191642.5
Sema4c	ENSMUST00000195620.5
Sema4c	ENSMUST00000114991.7
D430040D24Rik	ENSMUST00000149224.2
Fam178b	ENSMUST00000170295.7
Fam178b	ENSMUST00000114981.2
Gm6428	ENSMUST00000161062.1
Gm24133	ENSMUST00000104746.1
Cox5b	ENSMUST00000081180.6
Cox5b	ENSMUST00000193210.5
Actr1b	ENSMUST00000043951.9
4933424G06Rik	ENSMUST00000208994.1
Gm33533	ENSMUST00000193853.1
Zap70	ENSMUST00000027291.6
Gm18828	ENSMUST00000181035.1
Gm18828	ENSMUST00000180475.1
Tmem131	ENSMUST00000027290.11
Tmem131	ENSMUST00000194563.5
Gm37506	ENSMUST00000192008.1
Gm38115	ENSMUST00000194317.1
F830112A20Rik	ENSMUST00000194249.1
Rpl12-ps1	ENSMUST00000116168.3
n-R5s210	ENSMUST00000177688.1
Vwa3b	ENSMUST00000117172.8
Vwa3b	ENSMUST00000067178.13
Vwa3b	ENSMUST00000238500.1
Vwa3b	ENSMUST00000162449.6
Vwa3b	ENSMUST00000169057.2
Gm37020	ENSMUST00000195303.1
Cnga3	ENSMUST00000195272.5
Cnga3	ENSMUST00000194195.5
Cnga3	ENSMUST00000027288.9
1700074A21Rik	ENSMUST00000192404.1
Inpp4a	ENSMUST00000027287.10
